OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,CreationDa,Creator,EditDate,Editor,GlobalID,Shape_Leng,Shape_Area,ObservedPrcpChange,,,,
22,SACR,Lands - http://landsnet.nps.gov/tractsnet/documents/SACR/Metadata/sacr_metadata.xml,Saint Croix Island International Historic Site,20160620,ME,Northeast,581971,International Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230262,Saint Croix Island,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{1443462F-488C-44B1-9CAD-746EC6FFBB94},,54060.72896,60,,,VT,60
23,ADAM,Lands - http://landsnet.nps.gov/tractsnet/documents/ADAM/Metadata/adam_metadata.xml,Adams National Historical Park,20090605,MA,Northeast,1888899,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048140,Adams,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{E8B13BE5-F02A-409D-9125-D4175D75B0CA},,100799.852,60,,,ND,24
24,JOFI,Lands - http://landsnet.nps.gov/tractsnet/documents/JOFI/Metadata/jofi_metadata.xml,John Fitzgerald Kennedy National Historic Site,20101028,MA,Northeast,607138,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171834,John F Kennedy,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{92122B18-AA14-43E7-AF09-3B43CB3E6C5F},,644.6398458,60,,,SD,24
25,MIMA,Lands - http://landsnet.nps.gov/tractsnet/documents/MIMA/Metadata/mima_metadata.xml,Minute Man National Historical Park,20180222,MA,Northeast,600051,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2167740,Minute Man,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{8BC80FB9-0CE7-4C39-BEFC-52D860C8AF2C},,7614108.746,60,,,MT,24
26,SAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAMA/Metadata/sama_metadata.xml,Salem Maritime National Historic Site,20100325,MA,Northeast,1888961,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049237,Salem Maritime,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{67258805-47B8-4596-9E3E-E25297DB81A8},,70391.60538,60,,,UT,17
27,SAIR,Lands - http://landsnet.nps.gov/tractsnet/documents/SAIR/Metadata/sair_metadata.xml,Saugus Iron Works National Historic Site,20140609,MA,Northeast,600017,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210711,Saugus Iron Works,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{7635E0A6-6A21-4D1F-B4F9-F0506DD4BC84},,94291.52332,60,,,WY,24
28,CACO,Lands - http://landsnet.nps.gov/tractsnet/documents/CACO/Metadata/caco_metadata.xml,Cape Cod National Seashore,20160324,MA,Northeast,606900,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229062,Cape Cod,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{B432C6D2-872A-4348-AC53-FA1C726C1578},,324147362.4,60,,,DC,60
29,ELRO,Lands - http://landsnet.nps.gov/tractsnet/documents/ELRO/Metadata/elro_metadata.xml,Eleanor Roosevelt National Historic Site,20110422,NY,Northeast,1888914,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171829,Eleanor Roosevelt,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{942EF0DC-403E-4C19-9157-3C365FA0375D},,1291438.347,60,,,PA,60
30,LONG,Lands - http://landsnet.nps.gov/tractsnet/documents/LONG/Metadata/long_metadata.xml,Longfellow House-Washington's Headquarters National Historic Site,20110418,MA,Northeast,2733437,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180626,Longfellow,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{83D5B119-BA0C-4AFF-A6C4-BD80473AFA73},,14414.00674,60,,,WV,60
31,GATE,Lands - http://landsnet.nps.gov/tractsnet/documents/GATE/Metadata/gate_metadata.xml,Gateway National Recreation Area,20151231,NJ,Northeast,882894,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225694,Gateway,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{FDD20EEB-2188-4136-9DCA-A5A0D126E707},,190685391.2,60,,,FL,37
32,SAPA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAPA/Metadata/sapa_metadata.xml,Saint Paul's Church National Historic Site,20070209,NY,Northeast,1888959,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048042,Saint Paul's Church,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{7502FE01-82C7-40A0-9E57-01518CD4E775},,43929.19675,60,,,AL,37
33,THRI,Lands - http://landsnet.nps.gov/tractsnet/documents/THRI/Metadata/thri_metadata.xml,Theodore Roosevelt Inaugural National Historic Site,20150828,NY,Northeast,2035603,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224527,Theodore Roosevelt Inaugural,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{59AAD5CC-0279-4499-83D7-96143344DDFF},,8874.448427,60,,,GA,37
34,FOST,Lands - http://landsnet.nps.gov/tractsnet/documents/FOST/Metadata/fost_metadata.xml,Fort Stanwix National Monument,20100708,NY,Northeast,1888919,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165601,Fort Stanwix,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{9DC2A283-EAD2-42C1-9E50-765D415FB617},,127551.0296,60,,,KY,37
35,FIIS,Unofficial Boundary of Fire Island National Seashore.,Fire Island National Seashore,20131218,NY,Northeast,970121,National Seashore,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Fire Island,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{117DDF22-D7FB-4F3E-9CDF-3567758CC1BE},,138877039.1,60,,,NC,37
36,HOFR,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFR/Metadata/hofr_metadata.xml,Home of Franklin D. Roosevelt National Historic Site,20060307,NY,Northeast,1888929,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047983,Home of Franklin D Roosevelt,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{5729F78F-E7C0-4EFA-9F00-FC1C063B29A5},,6542741.728,60,,,SC,37
37,VAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/VAMA/Metadata/vama_metadata.xml,Vanderbilt Mansion National Historic Site,20150724,NY,Northeast,968452,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224528,Vanderbilt Mansion,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{8FA0553A-59D6-4D82-82A4-7CF16230436B},,1534826.246,60,,,PR,-24
38,SARA,Lands - http://landsnet.nps.gov/tractsnet/documents/SARA/Metadata/sara_metadata.xml,Saratoga National Historical Park,20210323,NY,Northeast,964487,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215979,Saratoga,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{783AF40E-C543-4397-8CE0-B6C1B91008F9},,26899681.6,60,,,VI,-24
39,SAGA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAGA/Metadata/saga_metadata.xml,Saint-Gaudens National Historical Park,20110309,NH,Northeast,1888960,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171112,Saint-Gaudens,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{F6B10B11-0C1B-4B91-95CE-A4346D6EBF4A},,1449351.99,60,,,TN,37
40,STLI,Lands - http://landsnet.nps.gov/tractsnet/documents/STLI/Metadata/stli_metadata.xml,Statue of Liberty National Monument,20160506,NJ,Northeast,880864,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230266,Statue Of Liberty,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{D55FF439-7B9F-4CDA-9AB6-3223666624DE},,486582.4651,60,,,MS,37
41,EDIS,Lands - http://landsnet.nps.gov/tractsnet/documents/EDIS/Metadata/edis_metadata.xml,Thomas Edison National Historical Park,20080422,NJ,Northeast,874901,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048152,Thomas Edison,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{F67FE089-603A-49A4-A7B8-215EDF3CB88F},,147844.2658,60,,,LA,37
42,MORR,Lands - http://landsnet.nps.gov/tractsnet/documents/MORR/Metadata/morr_metadata.xml,Morristown National Historical Park,20120223,NJ,Northeast,878495,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188829,Morristown,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{E67CC07F-EEAD-4F76-8917-BE0563C7619D},,11942535.13,60,,,OH,45
43,THRB,Lands - http://landsnet.nps.gov/tractsnet/documents/THRB/Metadata/thrb_metadata.xml,Theodore Roosevelt Birthplace National Historic Site,20110328,NY,Northeast,2083047,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171836,Theodore Roosevelt Birthplace,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{ECB636D2-AD61-45B5-8F8E-F7E93E863684},,745.1416516,60,,,WI,45
44,CACL,Lands - http://landsnet.nps.gov/tractsnet/documents/CACL/Metadata/cacl_metadata.xml,Castle Clinton National Monument,20070216,NY,Northeast,945983,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047919,Castle Clinton,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{774CC864-4ED2-4A74-8D46-3A2D211B0207},,8988.788231,60,,,IA,45
45,FEHA,Lands - http://landsnet.nps.gov/tractsnet/documents/FEHA/Metadata/feha_metadata.xml,Federal Hall National Memorial,20170330,NY,Northeast,2057537,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210702,Federal Hall,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{4401EFD3-DBC2-4D00-926F-FE79BBF94E90},,3743.235318,60,,,MO,45
46,GEGR,Lands - http://landsnet.nps.gov/tractsnet/documents/GEGR/Metadata/gegr_metadata.xml,General Grant National Memorial,20130722,NY,Northeast,2733424,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221818,General Grant,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{1A6C651F-AFD4-4462-9809-9BFC7B194042},,5124.717512,60,,,AR,37
47,HAGR,Lands - http://landsnet.nps.gov/tractsnet/documents/HAGR/Metadata/hagr_metadata.xml,Hamilton Grange National Memorial,20160328,NY,Northeast,2083660,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047980,Hamilton Grange,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{07D43473-FE4B-4071-BE99-026AE2DD04EC},,12400.38756,60,,,IN,45
48,SAHI,Lands - http://landsnet.nps.gov/tractsnet/documents/SAHI/Metadata/sahi_metadata.xml,Sagamore Hill National Historic Site,20110729,NY,Northeast,970557,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175728,Sagamore Hill,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{36872BB5-D212-4544-9283-8E90D732BB35},,586867.9336,60,,,TX,21
49,BOAF,Lands - http://landsnet.nps.gov/tractsnet/documents/BOAF/Metadata/boaf_metadata.xml,Boston African American National Historic Site,20090312,MA,Northeast,1888904,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048143,Boston African American,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{5F743057-AE6E-4216-9BEB-F884C02B473E},,4361.29637,60,,,OK,21
50,BOHA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOHA/Metadata/boha_metadata.xml,Boston Harbor Islands National Recreation Area,2.02E+13,MA,Northeast,606990,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047911,Boston Harbor Islands,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{D47DF51F-E38E-400F-A298-65A07ED95758},,16461881.36,60,,,HI,-19
51,AFBG,Lands - http://landsnet.nps.gov/tractsnet/documents/AFBG/Metadata/afbg_metadata.xml,African Burial Ground National Monument,20080819,NY,Northeast,2060434,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048074,African Burial Ground,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{12B80D36-F010-481F-8503-45B2B1D37002},,2425.177668,60,,,NV,17
52,GOIS,Lands - http://landsnet.nps.gov/tractsnet/documents/GOIS/Metadata/gois_metadata.xml,Governors Island National Monument,20120815,NY,Northeast,2092022,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188823,Governors Island,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{6E2E7FA8-F2CD-4D77-A898-299991838D23},,160551.9063,60,,,GU,N/A
53,LOWE,Unofficial Boundary of Lowell National Historical Park.,Lowell National Historical Park,20131218,MA,Northeast,1888940,National Historical Park,RISD,Preliminary data. Contact the Land Resources Program for additional information.,Lowell,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{E38763E7-A0E1-4DF1-AFE4-6DA724C756AD},,896082.2656,60,,,AS,N/A
54,ROWI,Lands - http://landsnet.nps.gov/tractsnet/documents/ROWI/Metadata/rowi_metadata.xml,Roger Williams National Memorial,20110930,RI,Northeast,1904107,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215978,Roger Williams,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{9FF24710-0C2D-415F-BF78-77AEE838551F},,33122.47711,60,,,OR,1
55,NEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/NEBE/Metadata/nebe_metadata.xml,New Bedford Whaling National Historical Park,20110715,MA,Northeast,2733436,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175722,New Bedford Whaling,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{442228A0-7615-491E-B4FB-35D65A1C13C6},,225913.5623,60,,,AK,21
56,WEFA,Lands - http://landsnet.nps.gov/tractsnet/documents/WEFA/Metadata/wefa_metadata.xml,Weir Farm National Historical Park,20150827,CT,Northeast,1888972,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224530,Weir Farm,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{80A805A9-782D-43DF-8E73-23B4003FF925},,492352.3857,60,,,DE,60
57,MABI,Lands - http://landsnet.nps.gov/tractsnet/documents/MABI/Metadata/mabi_metadata.xml,Marsh-Billings-Rockefeller National Historical Park,20110921,VT,Northeast,1888942,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196723,Marsh - Billings - Rockefeller,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{C6254E32-4027-4BC2-A0A6-C4EE4C33ECAA},,4988704.032,60,,,,
58,WORI,Lands - http://landsnet.nps.gov/tractsnet/documents/WORI/Metadata/wori_metadata.xml,Women's Rights National Historical Park,20110819,NY,Northeast,1888975,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175720,Women's Rights,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{6A1CB995-FAE4-40BF-B6EF-E695BDAE35A0},,56856.83827,60,,,,
59,FRLA,Lands - http://landsnet.nps.gov/tractsnet/documents/FRLA/Metadata/frla_metadata.xml,Frederick Law Olmsted National Historic Site,20160301,MA,Northeast,1971618,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229063,Frederick Law Olmsted,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{D5F609CD-CD5A-4954-99AA-69DC21445D69},,51737.24866,60,,,,
60,KNRI,Lands - http://landsnet.nps.gov/tractsnet/documents/KNRI/Metadata/knri_metadata.xml,Knife River Indian Villages National Historic Site,20120403,ND,Midwest,1888938,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2185777,Knife River Indian Villages,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{BE0C2E1B-5F2F-45EE-B407-40D0D10B8D71},,15618816.94,24,,,,
61,BADL,Lands - http://landsnet.nps.gov/tractsnet/documents/BADL/Metadata/badl_metadata.xml,Badlands National Park,20220418,SD,Midwest,1265096,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224522,Badlands,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{3B0A99C4-4E52-46C4-9B1A-23C7BDBEB4F5},,1879080774,24,,,,
62,BICA,Lands - http://landsnet.nps.gov/tractsnet/documents/BICA/Metadata/bica_metadata.xml,Bighorn Canyon National Recreation Area,2.02E+13,MT,Mountains,767934,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182227,Bighorn Canyon,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{8579DA78-D80D-43F7-B22A-B84A0F4A3555},,974077350.8,24,,,,
63,CANY,Lands - http://landsnet.nps.gov/tractsnet/documents/CANY/Metadata/cany_metadata.xml,Canyonlands National Park,20100426,UT,Mountains,1448008,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165304,Canyonlands,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{5EBE9606-0376-40CF-B6BD-30F5FB2354FE},,2196490657,17,,,,
64,ARCH,Lands - http://landsnet.nps.gov/tractsnet/documents/ARCH/Metadata/arch_metadata.xml,Arches National Park,2.02E+13,UT,Mountains,1455716,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239940,Arches,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{AAC9AF3C-5BF0-4DFC-A4A9-1155B9602FC3},,509081047,17,,,,
65,NABR,Lands - http://landsnet.nps.gov/tractsnet/documents/NABR/Metadata/nabr_metadata.xml,Natural Bridges National Monument,20100712,UT,Mountains,1454484,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166445,Natural Bridges,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{AC826681-645B-4E3E-9578-AB73704B80A2},,49150258.44,17,,,,
66,BLCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BLCA/Metadata/blca_metadata.xml,Black Canyon of the Gunnison National Park,2.02E+13,CO,Mountains,203271,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047909,Black Canyon of the Gunnison,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{5A792561-21C8-411D-AA3C-3C6D18268626},,207094308.3,17,,,,
67,COLM,Lands - http://landsnet.nps.gov/tractsnet/documents/COLM/Metadata/colm_metadata.xml,Colorado National Monument,20160401,CO,Mountains,202252,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2203268,Colorado,,NPS_WASO_LANDS,2.02E+13,NPS_WASO_LANDS,{EE73F373-22D9-44FA-87FF-AD83D6F78EBF},,137403444.9,17,,,,
